,,,,,,,,
,,,,,,,,
,BOMBAY,STOCK,EXCHANGE,LTD,MUMBAI.,Settlement,No.196,Date:06/01/2011
================================================================================,,,,,,,,
,Scrip,Scrip,Quantity,Scrip,Scrip,Quantity,,
,Code,Name,Code,Name,,,,
================================================================================,,,,,,,,
524372,ORCHIDCHEM,61,,,,,,
502420,ORIENTP,100,,,,,,
523574,PANTALOONR,75,,,,,,
532606,PARAL,808,,,,,,
517417,PATELSAI,77,,,,,,
503031,PENINSULA,200,,,,,,
500329,PENTAGRAPH,1070,,,,,,
533107,PIPAVAVYD,1,,,,,,
532117,PLATINUM,500,,,,,,
531467,POLYPRO,8,,,,,,
532898,POWERGRID,507,,,,,,
513532,PRADPME,100,,,,,,
533239,PRAKASHSTL,100,,,,,,
530695,PRIMEPRO,100,,,,,,
533295,PSB,600,,,,,,
532693,PUNJLLOYD,193,,,,,,
531500,RAJESHX,100,,,,,,
530111,RAJPACK,100,,,,,,
530253,RAJTUBE,100,,,,,,
524037,RAMAPHO,475,,,,,,
532370,RAMCOSYS,8,,,,,,
532987,RANEBRK,2,,,,,,
504903,RATHIST,200,,,,,,
524230,RCF,517,,,,,,
532712,RCOM,62,,,,,,
532106,REIAGRO,520,,,,,,
500390,RELINFRA,52,,,,,,
532670,RENUKA,750,,,,,,
533017,RESURGERE,5,,,,,,
531952,RIBATEX,45,,,,,,
533294,RKDL,460,,,,,,
532939,RPOWER,3096,,,,,,
502090,SAGARCE,100,,,,,,
511533,SAHARAHOUS,115,,,,,,
500113,SAIL,41,,,,,,
500370,SALORA,61,,,,,,
521240,SAMBNDSPQ,11,,,,,,
500112,SBI,60,,,,,,
523598,SCI,945,,,,,,
532900,SEINVEST,14900,,,,,,
512393,SHARDUL,100,,,,,,
513097,SHBCLQ,50,,,,,,
530549,SHILPAMEDCA,78,,,,,,
511108,SHIVATEX,100,,,,,,
531738,SILICON,6000,,,,,,
500389,SILVERLINE,142,,,,,,
505729,SINGER,20,,,,,,
526508,SKSLOGLTD,100,,,,,,
532419,SMARTLINK,96,,,,,,
520057,SONAKOYA,2,,,,,,
531645,SOUTHISPQ,32828,,,,,,
523756,SREINFRA,30,,,,,,
512531,STCI,50,,,,,,
513262,STEELSTR,8,,,,,,
500900,STERLITEIND,63,,,,,,
532374,STRTECH,50,,,,,,
517224,SUJANA,10,,,,,,
532733,SUNTV,10,,,,,,
521200,SURYCOTM,2,,,,,,
510245,SWASTIVI,1000,,,,,,
532890,TAKE,500,,,,,,
500483,TATACOMM,50,,,,,,
500800,TATAGLOBAL,6,,,,,,
500400,TATAPOWER,5,,,,,,
500470,TATASTL,77,,,,,,
532540,TCS,70,,,,,,
532356,TEIL,5,,,,,,
500411,THERMAX,10,,,,,,
507205,TILAKIND,1,,,,,,
522113,TIMKEN,136,,,,,,
533258,TIRUPATIINK,150,,,,,,
507747,TTKHE,17,,,,,,
532691,TULIP,22,,,,,,
532299,TV18,25,,,,,,
532384,TYCHE,200,,,,,,
509992,UBENG,100,,,,,,
532398,UMESL,3,,,,,,
531831,UNISH,109,,,,,,
507878,UNITECH,100,,,,,,
513216,UTTAMSTEEL,3351,,,,,,
531676,VAGHANI,100,,,,,,
511431,VAKRANG,1,,,,,,
