"Tentative list of securities to be auctioned in A 2011019 to be held on Feb 02, 2011.",,,,
S,No,Symbol,Series,Quantity
191,JPINFRATEC,EQ,700,
192,JSWENERGY,EQ,3,
193,JUPITER,EQ,46,
194,JYOTISTRUC,EQ,79,
195,KALECONSUL,EQ,1,
196,KALINDEE,EQ,120,
197,KCPSUGIND,EQ,39,
198,KEI,EQ,200,
199,KIRIDYES,EQ,3,
200,KNRCON,EQ,50,
201,KOLTEPATIL,EQ,1,
202,KOTAKGOLD,EQ,1,
203,KOUTONS,EQ,38,
204,KRBL,EQ,300,
205,KSK,EQ,1221,
206,KSL,EQ,32,
207,LAKSHMIMIL,EQ,13,
208,LICHSGFIN,EQ,25,
209,LIQUIDBEES,EQ,413,
210,LITL,EQ,249,
211,LLOYDFIN,EQ,2250,
212,LLOYDSTEEL,EQ,4694,
213,MAHINDUGIN,EQ,421,
214,MANGCHEFER,EQ,401,
215,MANGLMCEM,EQ,252,
216,MANINFRA,EQ,5,
217,MARALOVER,EQ,70,
218,MARICO,EQ,75,
219,MARKSANS,EQ,1850,
220,MARUTI,EQ,15,
221,MAX,EQ,50,
222,MCDOWELL-N,EQ,20,
223,MCLEODRUSS,EQ,150,
224,MELSTAR,EQ,1000,
225,MERCK,EQ,50,
226,MIC,EQ,1995,
227,MICROTECH,EQ,7,
228,MINDTREE,EQ,284,
229,MMFSL,EQ,2743,
230,MOIL,EQ,42,
231,MONSANTO,EQ,100,
232,MOTHERSUMI,EQ,2037,
233,MOTILALOFS,EQ,1,
234,MRPL,EQ,350,
235,MUNDRAPORT,EQ,240,
236,MURUDCERA,EQ,443,
237,MVL,EQ,3,
238,MYSOREBANK,EQ,14,
239,NAHARSPING,EQ,1585,
240,NATCOPHARM,EQ,34,
241,NATIONALUM,EQ,477,
242,NDTV,EQ,50,
243,NEYVELILIG,EQ,370,
244,NILKAMAL,EQ,1008,
245,NIRMA,EQ,12,
246,NITCO,EQ,100,
247,NITESHEST,EQ,150,
248,NITINFIRE,EQ,3,
249,NITINSPIN,EQ,30,
250,NMDC,EQ,199,
251,NOIDATOLL,EQ,30,
252,NTPC,EQ,2210,
253,OCL,EQ,3,
254,OISL,EQ,16,
255,OMAXE,EQ,138,
256,ONGC,EQ,126,
257,ORCHIDCHEM,EQ,700,
258,PAEL,EQ,102,
259,PARAL,EQ,50,
260,PATELENG,EQ,3,
261,PATNI,EQ,2,
