"Tentative list of securities to be auctioned in A 2010228 to be held on Dec 02, 2010."			
S No	Symbol	Series	Quantity
205	KGL	EQ	2500
206	KIRIDYES	EQ	6376
207	KIRLOSIND	EQ	7
208	KNRCON	EQ	379
209	KOTAKBANK	EQ	88
210	KPIT	EQ	49
211	KRBL	EQ	200
212	KSBPUMPS	EQ	3
213	KSCL	EQ	8
214	LAKSHMIEFL	EQ	7
215	LICHSGFIN	EQ	2346
216	LITL	EQ	125
217	LLOYDFIN	EQ	2000
218	LML	EQ	90
219	LT	EQ	21
220	LUPIN	EQ	82
221	LYKALABS	EQ	1
222	M&M	EQ	5
223	M&MFIN	EQ	32
224	MADHUCON	EQ	1
225	MADRASFERT	EQ	35
226	MAHLIFE	EQ	50
227	MANGALAM	EQ	4
228	MANGCHEFER	EQ	110
229	MANGTIMBER	EQ	500
230	MANINFRA	EQ	1060
231	MARALOVER	EQ	1000
232	MARUTI	EQ	15
233	MASTEK	EQ	7
234	MAX	EQ	47
235	MCDOWELL-N	EQ	23
236	MEGH	EQ	3
237	MPSLTD	EQ	47
238	MRPL	EQ	320
239	MSKPROJ	EQ	137
240	MSPL	EQ	500
241	MUDRA	EQ	425
242	MUKANDLTD	EQ	3
243	MUNDRAPORT	EQ	368
244	MURLIIND	EQ	400
245	MYSOREBANK	EQ	252
246	NAGARFERT	EQ	2
247	NAHARSPING	EQ	182
248	NATCOPHARM	EQ	50
249	NATIONALUM	EQ	25
250	NAUKRI	EQ	5
251	NDTV	EQ	100
252	NELCO	EQ	1950
253	NEPCMICON	EQ	1
254	NFL	EQ	1918
255	NIITTECH	EQ	300
256	NMDC	EQ	75
257	NOIDATOLL	EQ	280
258	NTPC	EQ	10
259	NUCLEUS	EQ	1
260	OBEROIREAL	EQ	20
261	OIL	EQ	5
262	OILCOUNTUB	EQ	1
263	OMAXE	EQ	311
264	ONMOBILE	EQ	1
265	OPTOCIRCUI	EQ	5
266	ORBITCORP	EQ	1039
267	ORCHIDCHEM	EQ	94
268	ORISSAMINE	EQ	1
269	PANACEABIO	EQ	101
270	PANTALOONR	EQ	49
271	PAREKHPLAT	EQ	1000
272	PARSVNATH	EQ	1068
273	PATNI	EQ	100
274	PENIND	EQ	200
275	PETRONET	EQ	200
276	PFOCUS	EQ	200
277	PHOENIXLTD	EQ	3
278	PIPAVAVYD	EQ	25
279	PIRHEALTH	EQ	1
280	PIRLIFE	EQ	58
281	PNB	EQ	3107
282	PNBGILTS	EQ	85
283	POLARIS	EQ	442
284	POLYPLEX	EQ	772
285	POWERGRID	EQ	5031
286	PRATIBHA	EQ	1
287	PRESTIGE	EQ	27
288	PRETAILDVR	EQ	26
289	PRITHVI	EQ	50
290	PTC	EQ	2
291	PUNJABCHEM	EQ	1
292	PURVA	EQ	1
293	PVR	EQ	2
294	RADICO	EQ	91
295	RAJESHEXPO	EQ	284
296	RALLIS	EQ	50
297	RAMANEWS	EQ	1
298	RAMCOIND	EQ	220
299	RANBAXY	EQ	320
300	RANEENGINE	EQ	7
301	RATNAMANI	EQ	64
302	RAYMOND	EQ	23
303	RCF	EQ	100
304	RECLTD	EQ	70
305	REDINGTON	EQ	2
306	REIAGROLTD	EQ	880
307	REISIXTEN	EQ	2
308	RELCAPITAL	EQ	59
309	RELGOLD	EQ	1
310	RELIANCE	EQ	112
311	RELMEDIA	EQ	145
312	RENUKA	EQ	31
313	ROHITFERRO	EQ	60
314	ROLTA	EQ	49
315	RPOWER	EQ	65
316	RSSOFTWARE	EQ	10
317	RSYSTEMS	EQ	100
318	RUCHISOYA	EQ	1
319	SAIL	EQ	296
320	SAKUMA	EQ	68
321	SALSTEEL	EQ	90
322	SANGAMIND	EQ	1
323	SASKEN	EQ	2
324	SATYAMCOMP	EQ	751
325	SBIN	EQ	5
326	SCI	EQ	610
327	SEAMECLTD	EQ	5
328	SESAGOA	EQ	28
329	SGJHL	EQ	2
330	SHANTIGEAR	EQ	351
331	SHIV-VANI	EQ	132
332	SHOPERSTOP	EQ	2
333	SICAGEN	EQ	904
334	SICAL	EQ	1439
335	SIEMENS	EQ	2
336	SILINV	EQ	150
337	SITASHREE	EQ	1618
338	SKSMICRO	EQ	77
339	SKUMARSYNF	EQ	50
340	SOBHA	EQ	150
341	SPIC	EQ	4397
342	SPICEMOBIL	EQ	2
343	SREINFRA	EQ	1
344	STARPAPER	EQ	1
345	STERLINBIO	EQ	3
346	STRTECH	EQ	45
347	SUBEX	EQ	5015
348	SUDARSCHEM	EQ	6
349	SUJANATOW	EQ	183
350	SUNCLAYTON	EQ	3
351	SUNDARAM	EQ	46492
352	SUNDARMFIN	EQ	1
353	SUNPHARMA	EQ	2
354	SUPPETRO	EQ	50
355	SUPRAJIT	EQ	1000
356	SUPREMEIND	EQ	15
357	SURAJDIAMN	EQ	91
358	SURYALAXMI	EQ	15
359	SURYAPHARM	EQ	25
360	SURYAROSNI	EQ	200
361	SUZLON	EQ	951
362	SWARAJENG	EQ	6
363	SYNCOM	EQ	50
364	SYNDIBANK	EQ	21
365	TAJGVK	EQ	53
366	TALWALKARS	EQ	5
367	TATACAP	N3	30
368	TATACHEM	EQ	25
369	TATACOMM	EQ	1697
370	TATAMETALI	EQ	50
371	TATAMOTORS	EQ	2001
372	TATAPOWER	EQ	28
373	TCS	EQ	304
374	TECHNO	EQ	123
375	TEXMACOLTD	EQ	240
376	TFCILTD	EQ	46
377	TI	EQ	4
378	TIL	EQ	10
379	TIMETECHNO	EQ	38
380	TNPL	EQ	1993
381	TORNTPOWER	EQ	40
382	TRENT	EQ	8
383	TRIL	EQ	200
384	TRIVENI	EQ	10
385	TTKPRESTIG	EQ	10
386	TUBEINVEST	EQ	5
387	TULIP	EQ	10
388	TV-18	EQ	2
389	TVSMOTOR	EQ	358
390	TVSSRICHAK	EQ	72
391	TWILITAKA	EQ	2
392	TWL	EQ	10
393	UBENGG	EQ	150
394	UCOBANK	EQ	100
395	ULTRACEMCO	EQ	15
396	UMESLTD	EQ	150
397	UNICHEMLAB	EQ	947
398	UNIONBANK	EQ	500
399	UNIPLY	EQ	499
400	UNITECH	EQ	1375
401	UTTAMSTL	EQ	52
402	UTVSOF	EQ	500
403	VAKRANSOFT	EQ	25
404	VALECHAENG	EQ	100
405	VARUN	EQ	105
406	VASCONEQ	EQ	1
407	VATECH	EQ	13
408	VENUSREM	EQ	7
409	VIDEOIND	EQ	100
410	VIJAYABANK	EQ	225
411	VIPIND	EQ	79
412	VISAKAIND	EQ	5
413	VLSFINANCE	EQ	1
414	VOLTAMP	EQ	58
415	VSTIND	EQ	103
416	WHIRLPOOL	EQ	1011
417	WINDSOR	EQ	50
418	WIPRO	EQ	33
419	WOCKPHARMA	EQ	359
420	WSTCSTPAPR	EQ	8883
421	WWIL	EQ	1649
422	XLTELENE	EQ	1400
423	YESBANK	EQ	100
424	ZANDUREALT	EQ	6
425	ZEEL	EQ	6
426	ZEENEWS	EQ	166
427	ZUARIAGRO	EQ	24
428	ZYDUSWELL	EQ	1
