"Tentative list of securities to be auctioned in A 2010225 to be held on Nov 29, 2010."			
S No	Symbol	Series	Quantity
201	LML	EQ	1000
202	LT	EQ	30
203	LUMAXAUTO	EQ	10
204	LUMAXTECH	EQ	1
205	LUPIN	EQ	838
206	M&M	EQ	161
207	MADRASFERT	EQ	330
208	MAHABANK	EQ	621
209	MAHINDUGIN	EQ	100
210	MAHLIFE	EQ	200
211	MANGLMCEM	EQ	100
212	MANGTIMBER	EQ	40
213	MARICO	EQ	400
214	MARUTI	EQ	1
215	MAYTASINFR	EQ	1
216	MCDOWELL-N	EQ	710
217	MCLEODRUSS	EQ	4
218	MIRZAINT	EQ	3050
219	MLL	EQ	500
220	MMFL	EQ	10
221	MPHASIS	EQ	50
222	MRF	EQ	2
223	MRPL	EQ	51
224	MTNL	EQ	8
225	MUKANDENGG	EQ	50
226	MUNJALSHOW	EQ	180
227	NAGARCONST	EQ	210
228	NAHARSPING	EQ	93
229	NATCOPHARM	EQ	1049
230	NELCO	EQ	9
231	NESTLEIND	EQ	2
232	NFL	EQ	70
233	NIFTYBEES	EQ	15
234	NILKAMAL	EQ	3
235	NISSAN	EQ	1500
236	NITESHEST	EQ	25
237	NITINFIRE	EQ	100
238	NITINSPIN	EQ	400
239	NOCIL	EQ	150
240	NORTHGATE	EQ	6492
241	OBEROIREAL	EQ	100
242	OIL	EQ	6
243	OMAXE	EQ	320
244	OMNITECH	EQ	97
245	OPTOCIRCUI	EQ	30
246	ORCHIDCHEM	EQ	290
247	ORIENTBANK	EQ	35
248	ORIENTPPR	EQ	1
249	PAGEIND	EQ	1
250	PANTALOONR	EQ	50
251	PARAL	EQ	9
252	PATNI	EQ	130
253	PERIATEA	EQ	25
254	PETRONET	EQ	115
255	PFOCUS	EQ	200
256	PIDILITIND	EQ	100
257	PIRHEALTH	EQ	10
258	PLASTIBLEN	EQ	3
259	POLARIS	EQ	2298
260	PONDYOXIDE	EQ	100
261	POWERGRID	EQ	7728
262	PRAJIND	EQ	60
263	PRESTIGE	EQ	175
264	PRISMCEM	EQ	300
265	PROVOGUE	EQ	680
266	PTC	EQ	25
267	RADICO	EQ	2
268	RAINBOWPAP	EQ	100
269	RAINCOM	EQ	100
270	RAJESHEXPO	EQ	107
271	RANBAXY	EQ	853
272	RCF	EQ	10
273	RCOM	EQ	40
274	RECLTD	EQ	8
275	RELCAPITAL	EQ	104
276	RELGOLD	EQ	47
277	RELIANCE	EQ	135
278	RELIGAREGO	EQ	10
279	RELINFRA	EQ	46
280	RENUKA	EQ	5
281	REPRO	EQ	2
282	ROHITFERRO	EQ	690
283	ROHLTD	EQ	86
284	ROLTA	EQ	341
285	RPOWER	EQ	393
286	SAKHTISUG	EQ	11
287	SANGAMIND	EQ	150
